Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
Food Poisoning,"dehydration, vomiting, diarrhea, headache, stomach cramps, fever",Severe,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Hepatitis A,"slight abdominal pain, slight fatigue, slight loss of appetite, nausea, vomiting",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Hepatitis B,"nausea, fever, abdominal pain, jaundice, loss of appetite, fatigue, joint pain",Moderate,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Typhoid,"headache, rose spots on chest, stomach pain, sustained high fever, diarrhea or constipation",Moderate,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Depression,"difficulty concentrating, fatigue, sleep changes, loss of interest, thoughts of death",Moderate,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Common Cold,"mild fever, cough, sneezing, headache, congestion, runny nose, sore throat",Moderate,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
COVID-19,"fatigue, loss of taste, loss of smell, severe dry cough",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Urinary Tract Infection,"cloudy urine, lower back pain, fever, pelvic pain, urgent urination, frequent urination, burning during urination",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Kidney Stones,"burning urination, vomiting, blood in urine, pain radiating to groin, fever, nausea",Moderate,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Anxiety Disorder,"sweating, rapid heartbeat, panic attacks, difficulty concentrating, irritability, restlessness, muscle tension",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Hypertension,"dizziness, occasional vision problems, headache, mild chest pain, nosebleeds, flushing, shortness of breath",Mild,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Kidney Stones,"pain radiating to groin, fever, burning urination, severe flank pain, frequent urination, nausea, vomiting",Moderate,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Anxiety Disorder,"difficulty concentrating, sleep disturbances, panic attacks, sweating",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Hepatitis A,"nausea, clay-colored stools, fatigue, mild loss of appetite, dark urine, slight abdominal pain, vomiting",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Diabetes,"excessive thirst, numbness in extremities, unexplained weight loss, mild blurred vision, slight frequent urination, fatigue",Mild,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Asthma,"chest tightness, shortness of breath, wheezing",Moderate,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Malaria,"fatigue, persistent sweating, jaundice",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Anemia,"fatigue, weakness, slight pale skin, slight dizziness, occasional cold hands and feet, occasional headache",Mild,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Anemia,"shortness of breath, weakness, cold hands and feet, fatigue",Moderate,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Osteoporosis,"decreased mobility, loss of height, shortness of breath",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Dengue,"severe bleeding, severe headache, vomiting, muscle pain, persistent pain behind eyes, rash, high fever",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Arthritis,"joint swelling, joint stiffness, slight fever, joint pain, fatigue, warmth around joints",Mild,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Malaria,"nausea, mild fatigue, mild muscle pain, sweating, jaundice, headache",Mild,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Diabetes,"numbness in extremities, slow healing wounds, fatigue, blurred vision",Moderate,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Common Cold,"runny nose, slight congestion, mild sore throat, headache",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Arthritis,"occasional fatigue, slight morning stiffness, occasional reduced range of motion, mild joint stiffness, joint swelling, joint pain",Mild,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Dengue,"occasional pain behind eyes, bleeding, nausea, severe headache, mild rash, high fever, slight joint pain",Mild,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Hepatitis B,"loss of appetite, fever, jaundice, vomiting, joint pain, abdominal pain",Moderate,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Osteoporosis,"stooped posture, back pain, bone fractures easily, loss of height, shortness of breath, decreased mobility",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Gallstones,"fever, mild indigestion, clay-colored stools, nausea, mild pain after fatty meals, vomiting",Mild,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Anemia,"chest pain, persistent cold hands and feet, headache, weakness, worsening irregular heartbeat, severe fatigue",Severe,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Kidney Stones,"intense burning urination, fever, severe blood in urine, extreme severe flank pain, vomiting",Severe,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Depression,"loss of interest, extreme sleep changes, worsening persistent sadness, persistent fatigue, persistent difficulty concentrating, appetite changes, persistent thoughts of death",Severe,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Asthma,"difficulty breathing, occasional coughing, chest tightness, rapid breathing",Mild,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Gastroenteritis,"headache, mild fever, vomiting",Moderate,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Hypertension,"slight vision problems, flushing, chest pain, nosebleeds",Mild,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Common Cold,"cough, mild runny nose, mild fever, sneezing",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Tuberculosis,"intense fatigue, intense persistent cough, blood in sputum, fever, persistent loss of appetite, chest pain",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Anxiety Disorder,"mild rapid heartbeat, occasional excessive worry, difficulty concentrating, sweating, irritability, slight restlessness",Mild,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Hypertension,"dizziness, nosebleeds, vision problems",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Common Cold,"sore throat, sneezing, slight runny nose, mild cough",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Jaundice,"pale stools, itching, yellow eyes",Moderate,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Arthritis,"joint swelling, joint pain, fever",Moderate,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Malaria,"chills, nausea, intense muscle pain, jaundice",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Anemia,"occasional chest pain, slight dizziness, occasional pale skin, irregular heartbeat",Mild,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Anxiety Disorder,"irritability, extreme sweating, extreme rapid heartbeat, persistent panic attacks, excessive worry",Severe,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Hepatitis C,"jaundice, fluid buildup in abdomen, confusion, fatigue, swelling in legs, bleeding easily, spider-like blood vessels",Moderate,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Hyperthyroidism,"slight bulging eyes, occasional weight loss, tremor, mild difficulty sleeping, sweating",Mild,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Hepatitis A,"occasional fatigue, occasional jaundice, low-grade fever, nausea, dark urine",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Hypothyroidism,"fatigue, constipation, slow heart rate, hair loss, cold sensitivity",Moderate,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Anemia,"dizziness, mild fatigue, cold hands and feet, headache, mild irregular heartbeat, occasional shortness of breath, occasional chest pain",Mild,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Hyperthyroidism,"heat sensitivity, difficulty sleeping, slight weight loss, anxiety, occasional diarrhea, slight irritability, bulging eyes",Mild,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Gastroenteritis,"vomiting, dehydration, headache, stomach cramps",Moderate,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Diabetes,"numbness in extremities, frequent urination, unexplained weight loss, blurred vision, slow healing wounds",Mild,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Kidney Stones,"frequent urination, burning urination, fever, vomiting",Severe,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Gastroenteritis,"headache, slight nausea, diarrhea, slight mild fever, vomiting",Mild,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Anxiety Disorder,"excessive worry, sleep disturbances, irritability, difficulty concentrating",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Appendicitis,"severe abdominal pain (lower right), worsening vomiting, severe abdominal bloating, persistent fever, persistent constipation, nausea, severe loss of appetite",Severe,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Urinary Tract Infection,"frequent urination, lower back pain, blood in urine",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Diabetes,"mild numbness in extremities, occasional unexplained weight loss, excessive thirst",Mild,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Hyperthyroidism,"anxiety, bulging eyes, severe diarrhea",Severe,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Dengue,"nausea, severe joint pain, pain behind eyes, muscle pain",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Anemia,"chest pain, cold hands and feet, dizziness",Moderate,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
COVID-19,"loss of taste, muscle aches, persistent shortness of breath, worsening sore throat",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Typhoid,"sustained high fever, occasional weakness, rose spots on chest, occasional diarrhea or constipation, loss of appetite",Mild,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Hypothyroidism,"cold sensitivity, depression, muscle weakness, weight gain",Moderate,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Flu,"cough, persistent fatigue, high fever",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Diabetes,"unexplained weight loss, excessive thirst, slow healing wounds",Mild,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Pneumonia,"productive cough, chest pain, chills",Severe,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Hypertension,"shortness of breath, nosebleeds, vision problems, headache, dizziness",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Depression,"loss of interest, thoughts of death, difficulty concentrating",Moderate,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Osteoporosis,"persistent loss of height, severe shortness of breath, stooped posture, back pain, decreased mobility",Severe,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Common Cold,"sneezing, headache, cough, mild fever, sore throat",Moderate,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Gallstones,"intense indigestion, intense pain after fatty meals, intense fever, severe vomiting, clay-colored stools",Severe,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Arthritis,"persistent warmth around joints, joint swelling, joint stiffness, morning stiffness, persistent reduced range of motion, joint pain, extreme fever",Severe,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Tuberculosis,"severe night sweats, fever, fatigue",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Migraine,"throbbing pain, severe headache, vomiting, sensitivity to sound, visual aura, nausea",Moderate,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Appendicitis,"vomiting, nausea, constipation, fever, loss of appetite, severe abdominal pain (lower right)",Moderate,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Hypothyroidism,"cold sensitivity, fatigue, depression",Moderate,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Appendicitis,"severe abdominal pain (lower right), nausea, vomiting, abdominal bloating, fever, constipation, loss of appetite",Moderate,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Depression,"persistent sadness, worsening sleep changes, fatigue, extreme thoughts of death, appetite changes, loss of interest",Severe,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Hepatitis A,"nausea, clay-colored stools, mild abdominal pain",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Bronchitis,"chest discomfort, mild fever, shortness of breath",Moderate,"Rest, fluids, expectorants, bronchodilators if wheezing, avoid smoke and irritants, antibiotics if bacterial","Avoid smoking and secondhand smoke, use humidifier, stay hydrated, avoid cold air, flu vaccination","Inflammation of the bronchial tubes causing cough and mucus production, acute or chronic."
Anemia,"occasional headache, irregular heartbeat, occasional chest pain, cold hands and feet, fatigue, dizziness, pale skin",Mild,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Migraine,"nausea, occasional vomiting, slight severe headache, mild sensitivity to light, sensitivity to sound, mild throbbing pain, visual aura",Mild,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
